symbol	usa	candidate	score	best_score	best	classification	pass3_classification	structural_score	rom_score	total_score	reasons
_SilphCo9FRocket2BattleText	21:4D33	21:4DF7	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
_Thanks1Text	2A:4155	2A:413B	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Thanks2Text	2A:4209	2A:41E6	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_Thanks3Text	2A:42BC	2A:428B	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_TossHowManyText	22:60E9	22:62EB	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	180	80	260	after-prev;reasonable-prev-ratio
_TossHowManyText	22:60E9	22:6277	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_TradeCenterOpponentText	25:4B01	25:4BC1	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_TradeCenterOpponentText	25:4B01	25:4BC4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	180	80	260	after-prev;reasonable-prev-ratio
_TurnedOnPC1Text	22:5EFE	22:610D	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_TurnedOnPC1Text	22:5EFE	22:61C4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_TurnedOnPC2Text	22:5FA9	22:610D	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_TurnedOnPC2Text	22:5FA9	22:61C4	45	45	YES	STILL_AMBIGUOUS	STILL_AMBIGUOUS	160	80	240	after-prev;reasonable-prev-ratio
_UnaffectedText	22:5AA4	22:5C6A	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_VermilionDockUnusedText	27:450E	27:4561	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_VermilionGymLTSurgeTM24NoRoomText	27:4130	27:4136	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_VermilionGymSuperNerdEndBattleText	27:4244	27:4253	45	45	YES	STILL_AMBIGUOUS	HIGH_CONFIDENCE	160	80	240	after-prev;reasonable-prev-ratio
_VermilionOldRodHouseFishingGuruNoRoomText	27:464C	27:469E	45	45	YES	STILL_AMBIGUOUS	PLAUSIBLE	140	80	220	after-prev;reasonable-prev-ratio
